tconst,domestic,international,worldwide
tt0283900,3897799.0,29375036.0,33272835.0
tt0283911,,41809.0,41809.0
tt0283915,,209531.0,209531.0
tt0283957,,17006200.0,17006200.0
tt0284034,232044.0,230932.0,462976.0
tt0284066,,1501021.0,1501021.0
tt0284083,,335431.0,335431.0
tt0284117,,15301.0,15301.0
tt0284203,8077.0,,8077.0
tt0284262,263107.0,,263107.0
tt0284277,,143651.0,143651.0
tt0284289,,3947.0,3947.0
tt0284295,,45978.0,45978.0
tt0284363,617403.0,6737075.0,7354478.0
tt0284387,,97016.0,97016.0
tt0284394,,64199.0,64199.0
tt0284426,164520.0,,164520.0
tt0284457,,1057035.0,1057035.0
tt0284478,150445.0,97109.0,247554.0
tt0284490,38082712.0,39802960.0,77885672.0
tt0284491,77858.0,3262524.0,3340382.0
tt0284494,249204.0,,249204.0
tt0284573,17361.0,,17361.0
tt0284631,,118176.0,118176.0
tt0284674,11000.0,,11000.0
tt0284837,,23280529.0,23280529.0
tt0284848,,36696.0,36696.0
tt0284850,14369.0,,14369.0
tt0284880,24629.0,3106.0,27735.0
tt0284929,6073.0,62643.0,68716.0
tt0284970,,12934.0,12934.0
tt0284971,7883.0,,7883.0
tt0284978,,898365.0,898365.0
tt0285006,,243748.0,243748.0
tt0285052,78668.0,5714871.0,5793539.0
tt0285150,,139610.0,139610.0
tt0285156,1554.0,,1554.0
tt0285166,,16245.0,16245.0
tt0285175,,371000.0,371000.0
tt0285209,,1689116.0,1689116.0
tt0285221,,4243.0,4243.0
tt0285280,4847.0,,4847.0
tt0285300,,726133.0,726133.0
tt0285441,3789952.0,1414329.0,5204281.0
tt0285462,8600126.0,6420167.0,15020293.0
